"filename", "language", "Dart", "comment", "blank", "total"
"d:\Flutter Application\book_store_manager\lib\screens\root\require_sign_out_page.dart", "Dart", 78, 0, 3, 81
"d:\Flutter Application\book_store_manager\lib\screens\root\root_page.dart", "Dart", 51, 0, 8, 59
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_bloc.dart", "Dart", 28, 0, 9, 37
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_event.dart", "Dart", 10, 0, 5, 15
"d:\Flutter Application\book_store_manager\lib\screens\statistic\bloc\statistic_state.dart", "Dart", 28, 0, 5, 33
"d:\Flutter Application\book_store_manager\lib\screens\statistic\statistic_page.dart", "Dart", 345, 0, 10, 355
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\custom_cell.dart", "Dart", 28, 0, 4, 32
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\indicator.dart", "Dart", 41, 0, 4, 45
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\month_selector.dart", "Dart", 72, 0, 5, 77
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\row_data.dart", "Dart", 38, 0, 4, 42
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_line_chart.dart", "Dart", 211, 0, 21, 232
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_pie_chart.dart", "Dart", 129, 0, 8, 137
"d:\Flutter Application\book_store_manager\lib\screens\statistic\views\statistic_table.dart", "Dart", 8, 0, 3, 11
"d:\Flutter Application\book_store_manager\lib\screens\user_details\bloc\user_details_bloc.dart", "Dart", 117, 26, 27, 170
"d:\Flutter Application\book_store_manager\lib\screens\user_details\bloc\user_details_event.dart", "Dart", 32, 0, 13, 45
"d:\Flutter Application\book_store_manager\lib\screens\user_details\bloc\user_details_state.dart", "Dart", 28, 0, 5, 33
"d:\Flutter Application\book_store_manager\lib\screens\user_details\user_details_page.dart", "Dart", 193, 1, 5, 199
"d:\Flutter Application\book_store_manager\lib\screens\user_details\views\user_information.dart", "Dart", 74, 0, 3, 77
"d:\Flutter Application\book_store_manager\lib\screens\user_details\views\user_order_item_creator.dart", "Dart", 46, 0, 2, 48
"d:\Flutter Application\book_store_manager\lib\screens\user_details\views\user_orders_list.dart", "Dart", 44, 0, 6, 50
"d:\Flutter Application\book_store_manager\lib\screens\user_details\views\user_statistic_item.dart", "Dart", 32, 0, 4, 36
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\bloc\user_order_history_bloc.dart", "Dart", 73, 0, 13, 86
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\bloc\user_order_history_event.dart", "Dart", 14, 0, 7, 21
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\bloc\user_order_history_state.dart", "Dart", 53, 0, 7, 60
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\user_order_history_page.dart", "Dart", 318, 1, 11, 330
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\filter_button.dart", "Dart", 110, 1, 4, 115
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\order_creator.dart", "Dart", 12, 0, 3, 15
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\order_history_list.dart", "Dart", 40, 0, 6, 46
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\statistic_1.dart", "Dart", 40, 0, 4, 44
"d:\Flutter Application\book_store_manager\lib\screens\user_order_history\views\statistic_item.dart", "Dart", 37, 0, 4, 41
"d:\Flutter Application\book_store_manager\lib\themes\colors.dart", "Dart", 11, 0, 3, 14
"d:\Flutter Application\book_store_manager\lib\themes\texts.dart", "Dart", 23, 0, 5, 28
"d:\Flutter Application\book_store_manager\lib\utils\chat_utils.dart", "Dart", 1, 0, 1, 2
